antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_desc,consequents_desc
frozenset({'22470'}),frozenset({'22469'}),0.04771095964774715,0.05597442547801436,0.024006272995958745,0.5031605562579015,8.989115153232486,1.0,0.02133567944067137,1.9000616525366176,0.9332821314578975,0.3012869038607116,0.4737012882371573,0.4660199333013645,['22470 (HEART OF WICKER LARGE)'],['22469 (HEART OF WICKER SMALL)']
frozenset({'22384'}),frozenset({'20728'}),0.05114904397128898,0.053199831111647264,0.023885638458290608,0.4669811320754717,8.77786869464767,1.0,0.021164517957495813,1.7762976619852284,0.9338422685953038,0.29685157421289354,0.43703129188247725,0.4579803619561032,['22384 (LUNCH BAG PINK POLKADOT)'],['20728 (LUNCH BAG CARS BLUE)']
frozenset({'22384'}),frozenset({'20727'}),0.05114904397128898,0.06007599975873092,0.0266602328246577,0.5212264150943396,8.676117204667728,1.0,0.023587402871379226,1.9631910152822567,0.9324341854901597,0.3152639087018545,0.4906252156740716,0.4825007577479731,['22384 (LUNCH BAG PINK POLKADOT)'],['20727 (LUNCH BAG  BLACK SKULL.)']
frozenset({'23206'}),frozenset({'23209'}),0.04499668255021413,0.05422522468182641,0.020809457747753182,0.4624664879356568,8.528622806991384,1.0,0.018369502526531002,1.7594712777739587,0.9243400089887476,0.2653846153846154,0.4316474428243147,0.42311311048618216,['23206 (LUNCH BAG APPLE DESIGN)'],['23209 (LUNCH BAG VINTAGE DOILY )']
frozenset({'22384'}),frozenset({'20725'}),0.05114904397128898,0.06755534109415526,0.028409433620845647,0.5554245283018868,8.221770763140162,1.0,0.024954042508725273,2.097382150536224,0.9257214681924785,0.3146292585170341,0.5232151662278919,0.48798012129380053,['22384 (LUNCH BAG PINK POLKADOT)'],['20725 (LUNCH BAG RED RETROSPOT)']
frozenset({'20728'}),frozenset({'22383'}),0.053199831111647264,0.05784426081187044,0.025031666566137884,0.47052154195011336,8.134282214797633,1.0,0.0219543616601683,1.7794033446765103,0.9263449158806342,0.29102384291725103,0.4380138696537087,0.4516319909959117,['20728 (LUNCH BAG CARS BLUE)'],['22383 (LUNCH BAG SUKI DESIGN )']
frozenset({'22382'}),frozenset({'22383'}),0.05265697569214066,0.05784426081187044,0.024549128415465346,0.4662084765177548,8.059718803115596,1.0,0.02150322457996484,1.765025665903942,0.9246135453954123,0.28561403508771926,0.43343600078027256,0.4453044468094509,['22382 (LUNCH BAG SPACEBOY DESIGN )'],['22383 (LUNCH BAG SUKI DESIGN )']
frozenset({'20726'}),frozenset({'20725'}),0.04065383919416129,0.06755534109415526,0.02195548585560046,0.5400593471810089,7.994324925816024,1.0,0.019209101882051955,2.0273151616210945,0.9119870384252655,0.2545454545454545,0.506736782257193,0.4325296735905044,['20726 (LUNCH BAG WOODLAND)'],['20725 (LUNCH BAG RED RETROSPOT)']
frozenset({'22382'}),frozenset({'20728'}),0.05265697569214066,0.053199831111647264,0.021895168586766392,0.41580756013745707,7.8159563940123595,1.0,0.019093826373094393,1.6206991126265333,0.9205288708952625,0.2607758620689655,0.38298232398030835,0.4136860929938986,['22382 (LUNCH BAG SPACEBOY DESIGN )'],['20728 (LUNCH BAG CARS BLUE)']
frozenset({'22383'}),frozenset({'20727'}),0.05784426081187044,0.06007599975873092,0.02690150189999397,0.46506777893639206,7.741324002998438,1.0,0.02342645010141607,1.7570898951878695,0.9242878797448367,0.295559973492379,0.4308771550398796,0.4564294717975133,['22383 (LUNCH BAG SUKI DESIGN )'],['20727 (LUNCH BAG  BLACK SKULL.)']
frozenset({'20728'}),frozenset({'20727'}),0.053199831111647264,0.06007599975873092,0.024247542071295012,0.4557823129251701,7.586762014042565,1.0,0.021051509030267167,1.727110350443332,0.9169743434195526,0.2723577235772358,0.4209982009873834,0.42969838537824767,['20728 (LUNCH BAG CARS BLUE)'],['20727 (LUNCH BAG  BLACK SKULL.)']
frozenset({'22384'}),frozenset({'22383'}),0.05114904397128898,0.05784426081187044,0.02213643766210266,0.43278301886792453,7.481866183327758,1.0,0.01917775902234959,1.6610146919574507,0.913044879017584,0.2548611111111111,0.3979583655448989,0.4077366606331281,['22384 (LUNCH BAG PINK POLKADOT)'],['22383 (LUNCH BAG SUKI DESIGN )']
frozenset({'22384'}),frozenset({'22382'}),0.05114904397128898,0.05265697569214066,0.020145967790578444,0.39386792452830194,7.479881237977913,1.0,0.017452613825506048,1.562931682126585,0.9130074984478949,0.24080749819754868,0.36017676816214933,0.3882283494348268,['22384 (LUNCH BAG PINK POLKADOT)'],['22382 (LUNCH BAG SPACEBOY DESIGN )']
frozenset({'22382'}),frozenset({'20727'}),0.05265697569214066,0.06007599975873092,0.02346341757645214,0.44558991981672397,7.417103695423159,1.0,0.0202999971174756,1.6953587855591485,0.9132663265917402,0.2628378378378379,0.4101543528615457,0.41807608440635396,['22382 (LUNCH BAG SPACEBOY DESIGN )'],['20727 (LUNCH BAG  BLACK SKULL.)']
frozenset({'23209'}),frozenset({'23203'}),0.05422522468182641,0.05923155799505398,0.02364436938295434,0.43604004449388206,7.361617003731233,1.0,0.020432524842417907,1.668147592430861,0.9137062031445231,0.26326393552719946,0.40053265997717963,0.4176126902713809,['23209 (LUNCH BAG VINTAGE DOILY )'],['23203 (JUMBO BAG VINTAGE DOILY )']
frozenset({'85099F'}),frozenset({'85099B'}),0.03751734121478979,0.08727908800289523,0.02382532118945654,0.635048231511254,7.276064015359419,1.0,0.020550841863936253,2.50093571481145,0.8961855556428152,0.23596176821983272,0.6001496583548163,0.45401340393807343,['85099F (JUMBO BAG STRAWBERRY)'],['85099B (JUMBO BAG RED RETROSPOT)']
frozenset({'20727'}),frozenset({'20725'}),0.06007599975873092,0.06755534109415526,0.029193558115688523,0.48594377510040165,7.1932695065978205,1.0,0.025135103460415066,1.8138962505277763,0.9160114619502181,0.2965686274509804,0.4487005529070159,0.4590433161216294,['20727 (LUNCH BAG  BLACK SKULL.)'],['20725 (LUNCH BAG RED RETROSPOT)']
frozenset({'22383'}),frozenset({'20725'}),0.05784426081187044,0.06755534109415526,0.028107847276675313,0.4859228362877998,7.192959556085208,1.0,0.024200158507190126,1.8138223689466637,0.9138352942469486,0.2889026658400496,0.44867809708360396,0.4509971324296142,['22383 (LUNCH BAG SUKI DESIGN )'],['20725 (LUNCH BAG RED RETROSPOT)']
frozenset({'22386'}),frozenset({'85099B'}),0.04897762229326256,0.08727908800289523,0.030520538030038,0.623152709359606,7.139771090858955,1.0,0.026245815823731772,2.4219914396785924,0.9042263435589065,0.2886480319452367,0.5871166249321245,0.48642086055402556,['22386 (JUMBO BAG PINK POLKADOT)'],['85099B (JUMBO BAG RED RETROSPOT)']
frozenset({'22382'}),frozenset({'20725'}),0.05265697569214066,0.06755534109415526,0.02473008022196755,0.46964490263459335,6.952002536409752,1.0,0.021172820268098344,1.758151592278191,0.9037450345215282,0.2590018951358181,0.4312208319282569,0.4178581656030109,['22382 (LUNCH BAG SPACEBOY DESIGN )'],['20725 (LUNCH BAG RED RETROSPOT)']
frozenset({'20728'}),frozenset({'20725'}),0.053199831111647264,0.06755534109415526,0.02491103202846975,0.46825396825396826,6.931412981859411,1.0,0.021317099291570968,1.7535526421214394,0.9038119126725068,0.2599118942731278,0.42972912476114494,0.41850198412698414,['20728 (LUNCH BAG CARS BLUE)'],['20725 (LUNCH BAG RED RETROSPOT)']
frozenset({'23206'}),frozenset({'20725'}),0.04499668255021413,0.06755534109415526,0.020085650521744377,0.44638069705093836,6.607629978935274,1.0,0.01704588428395924,1.6842704976846492,0.8886459250256383,0.21722113502935422,0.40627114149734833,0.37185106281118346,['23206 (LUNCH BAG APPLE DESIGN)'],['20725 (LUNCH BAG RED RETROSPOT)']
frozenset({'21931'}),frozenset({'85099B'}),0.043428433560528376,0.08727908800289523,0.024609445684299416,0.5666666666666668,6.492582354296246,1.0,0.02081905160974217,2.106279027685627,0.884385559507869,0.2319499715747584,0.5252290950744559,0.4243146740382401,['21931 (JUMBO STORAGE BAG SUKI)'],['85099B (JUMBO BAG RED RETROSPOT)']
frozenset({'85099C'}),frozenset({'85099B'}),0.03775861029012606,0.08727908800289523,0.020930092285421316,0.5543130990415336,6.351041374574696,1.0,0.01763455521504238,2.047897100036515,0.8756072186832683,0.20104287369640783,0.511694215504202,0.39705979762028304,['85099C (JUMBO  BAG BAROQUE BLACK WHITE)'],['85099B (JUMBO BAG RED RETROSPOT)']
frozenset({'23209'}),frozenset({'20725'}),0.05422522468182641,0.06755534109415526,0.022860244888111465,0.421579532814238,6.240506316542189,1.0,0.019197041338823474,1.6120533622237583,0.8879033506542459,0.2310975609756097,0.37967314021134946,0.3799861949785476,['23209 (LUNCH BAG VINTAGE DOILY )'],['20725 (LUNCH BAG RED RETROSPOT)']
frozenset({'22699'}),frozenset({'22423'}),0.040895108269497556,0.08504734905603474,0.021231678629591653,0.5191740412979352,6.104529383459907,1.0,0.01775365808191136,1.9028769857055479,0.8718412506932097,0.20276497695852536,0.47447995455721986,0.3844097156844286,['22699 (ROSES REGENCY TEACUP AND SAUCER )'],['22423 (REGENCY CAKESTAND 3 TIER)']
frozenset({'21733'}),frozenset({'85123A'}),0.038723686591471136,0.11405995536522107,0.025936425598648893,0.6697819314641745,5.872191772471998,1.0,0.021519603634448888,2.6828939087524915,0.8631293859105111,0.20446980504041845,0.627268153713545,0.4485874226331978,['21733 (RED HANGING HEART T-LIGHT HOLDER)'],['85123A (WHITE HANGING HEART T-LIGHT HOLDER)']
frozenset({'22411'}),frozenset({'85099B'}),0.04517763435671633,0.08727908800289523,0.022498341275107064,0.4979973297730307,5.705803545478283,1.0,0.018555278550324596,1.818159476292105,0.8637625982498361,0.20460778935820076,0.44999324149531295,0.3778860180309521,['22411 (JUMBO SHOPPER VINTAGE RED PAISLEY)'],['85099B (JUMBO BAG RED RETROSPOT)']
frozenset({'23298'}),frozenset({'47566'}),0.055129983714337416,0.07780927679594668,0.02165389951143012,0.39277899343544853,5.047971265245195,1.0,0.017364275348845208,1.5187068847000085,0.8486888162404522,0.19457994579945798,0.3415450933459547,0.3355367835394297,['23298 (SPOTTY BUNTING)'],['47566 (PARTY BUNTING)']
frozenset({'23203'}),frozenset({'85099B'}),0.05923155799505398,0.08727908800289523,0.025936425598648893,0.4378818737270876,5.017030811694116,1.0,0.020766749235849986,1.623717274603545,0.8510903259571385,0.21510755377688845,0.38412923503313406,0.3675242126064602,['23203 (JUMBO BAG VINTAGE DOILY )'],['85099B (JUMBO BAG RED RETROSPOT)']
frozenset({'20725'}),frozenset({'85099B'}),0.06755534109415526,0.08727908800289523,0.02273961035044333,0.3366071428571428,3.8566757577253425,1.0,0.01684344179002095,1.3758377139121905,0.7943735144026906,0.1721461187214612,0.2731700912918696,0.298573094579919,['20725 (LUNCH BAG RED RETROSPOT)'],['85099B (JUMBO BAG RED RETROSPOT)']
